PlayerID,tr_gid,te_gid,hist_mpm,hist_mpm_te
244,973,946,25.549887296187592,26.875098535891507
244,997,946,25.80482367535749,26.875098535891507
244,788,973,25.49103410471261,25.565401502881155
244,811,973,25.770730460402895,25.565401502881155
244,869,973,27.70764233364884,25.565401502881155
244,893,973,24.639927586589913,25.565401502881155
244,946,973,25.549887296187592,25.565401502881155
244,997,973,24.233187235745067,25.565401502881155
244,788,997,25.745970483882513,25.777848485522735
244,811,997,26.025666839572796,25.777848485522735
244,869,997,27.962578712818743,25.777848485522735
244,893,997,24.894863965759814,25.777848485522735
244,946,997,25.80482367535749,25.777848485522735
244,973,997,24.233187235745067,25.777848485522735
283,869,788,4.293893392056799,4.886104874675884
283,946,788,5.233707953525843,4.886104874675884
283,973,788,5.549448531900409,4.886104874675884
283,997,788,4.467369621220485,4.886104874675884
283,788,869,4.293893392056799,5.386738035674399
283,946,869,5.901218834857196,5.386738035674399
283,973,869,6.216959413231763,5.386738035674399
283,997,869,5.134880502551838,5.386738035674399
283,788,946,5.233707953525843,6.091598956776181
283,869,946,5.901218834857196,6.091598956776181
283,973,946,7.156773974700805,6.091598956776181
283,997,946,6.074695064020882,6.091598956776181
283,788,973,5.549448531900409,6.328404390557106
283,869,973,6.216959413231763,6.328404390557106
283,946,973,7.156773974700805,6.328404390557106
283,997,973,6.390435642395448,6.328404390557106
283,788,997,4.467369621220485,5.5168452075471635
283,869,997,5.134880502551838,5.5168452075471635
283,946,997,6.074695064020882,5.5168452075471635
283,973,997,6.390435642395448,5.5168452075471635
331,811,788,29.52105281093521,29.83234493485715
331,869,788,31.641683009513997,29.83234493485715
331,946,788,30.449558793773377,29.83234493485715
331,973,788,29.217682900673054,29.83234493485715
331,997,788,28.331747159390105,29.83234493485715
331,788,811,29.52105281093521,30.134833880547337
331,869,811,32.01979419162673,30.134833880547337
331,946,811,30.82766997588611,30.134833880547337
331,973,811,29.595794082785787,30.134833880547337
331,997,811,28.709858341502837,30.134833880547337
331,788,869,31.641683009513997,31.83133803941036
331,811,869,32.01979419162673,31.83133803941036
331,946,869,32.94830017446489,31.83133803941036
331,973,869,31.716424281364567,31.83133803941036
331,997,869,30.83048854008162,31.83133803941036
331,788,946,30.449558793773377,30.877638666817866
331,811,946,30.82766997588611,30.877638666817866
331,869,946,32.94830017446489,30.877638666817866
331,973,946,30.524300065623947,30.877638666817866
331,997,946,29.638364324340998,30.877638666817866
331,788,973,29.217682900673054,29.892137952337606
331,811,973,29.595794082785787,29.892137952337606
331,869,973,31.716424281364567,29.892137952337606
331,946,973,30.524300065623947,29.892137952337606
331,997,973,28.406488431240675,29.892137952337606
331,788,997,28.331747159390105,29.183389359311246
331,811,997,28.709858341502837,29.183389359311246
331,869,997,30.83048854008162,29.183389359311246
331,946,997,29.638364324340998,29.183389359311246
331,973,997,28.406488431240675,29.183389359311246
174,838,811,26.213984178093106,26.141657141132203
174,893,811,25.022854558945372,26.141657141132203
174,934,811,27.64106319596258,26.141657141132203
174,973,811,26.54543170355151,26.141657141132203
174,997,811,25.284952069108442,26.141657141132203
174,811,838,26.213984178093106,25.863282507478324
174,893,838,24.674886266878023,25.863282507478324
174,934,838,27.29309490389523,25.863282507478324
174,973,838,26.19746341148416,25.863282507478324
174,997,838,24.936983777041092,25.863282507478324
174,811,893,25.022854558945372,24.910378812160136
174,838,893,24.674886266878023,24.910378812160136
174,934,893,26.101965284747497,24.910378812160136
174,973,893,25.006333792336427,24.910378812160136
174,997,893,23.74585415789336,24.910378812160136
174,811,934,27.64106319596258,27.0049457217739
174,838,934,27.29309490389523,27.0049457217739
174,893,934,26.101965284747497,27.0049457217739
174,973,934,27.624542429353635,27.0049457217739
174,997,934,26.364062794910566,27.0049457217739
174,811,973,26.54543170355151,26.128440527845044
174,838,973,26.19746341148416,26.128440527845044
174,893,973,25.006333792336427,26.128440527845044
174,934,973,27.624542429353635,26.128440527845044
